depth	FcPHz	FcSHz	FcPFcS
10.56	10.53	08.34	1.26
13.08	09.54	08.24	1.16
10.00	08.44	06.24	1.35
11.85	07.68	05.11	1.50
17.56	09.85	07.58	1.30
10.99	07.88	07.00	1.13
18.88	10.74	07.15	1.50
13.20	07.34	06.55	1.12
15.74	11.27	08.04	1.40
22.09	06.75	04.61	1.46
08.28	10.51	07.62	1.38
19.52	06.44	05.17	1.25
05.20	08.41	05.62	1.50
21.46	10.00	08.56	1.17
19.23	05.03	04.06	1.24
15.38	07.55	07.11	1.06
05.66	11.33	09.05	1.25
06.47	10.20	08.74	1.17
13.55	07.20	06.44	1.12
05.26	10.22	07.27	1.41
05.28	07.34	05.33	1.38
12.05	12.05	08.79	1.37
23.27	06.31	04.66	1.35
05.40	07.23	06.11	1.18
20.41	11.22	09.47	1.18
21.74	07.00	06.11	1.15
12.92	10.84	09.05	1.20
02.01	06.21	05.14	1.21
07.03	12.55	09.58	1.31
20.17	06.40	05.05	1.27
13.87	06.33	04.55	1.39
04.52	07.10	05.64	1.26
21.28	09.45	07.66	1.23
11.29	12.44	10.23	1.22
03.37	10.45	08.45	1.24
14.04	08.45	05.89	1.43
15.32	08.42	06.05	1.39
20.62	10.04	08.56	1.17
21.01	10.26	07.12	1.44
03.16	05.06	04.52	1.12
10.72	08.26	06.44	1.28
11.17	09.38	08.44	1.11
02.41	08.48	06.41	1.32
15.29	12.04	09.14	1.32
12.26	06.41	04.28	1.50
05.74	09.67	08.06	1.20
11.45	08.86	06.35	1.40
05.24	06.14	04.61	1.33
07.86	07.41	06.02	1.23
15.25	10.47	07.00	1.50
11.02	08.21	06.23	1.32
05.06	07.44	05.21	1.43
08.80	08.42	06.24	1.35
13.87	07.32	05.12	1.43
16.72	06.38	05.14	1.24
